schema,table,policy,cmd,qual,with_check,literal_roles,proposed_helper,risk,flow_impact
public,outbound_daily_documentation,Admin can view all outbound documentation,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND ((user_roles.role)::text = ANY (ARRAY['ceo'::text, 'gestor_projetos'::text, 'sucesso_cliente'::text])))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",MEDIO,Documentação
public,outbound_justifications,Admin can view all outbound justifications,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND ((user_roles.role)::text = ANY (ARRAY['ceo'::text, 'gestor_projetos'::text, 'sucesso_cliente'::text])))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Justificativas
public,outbound_meetings,Admin can manage outbound meetings,ALL,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND ((user_roles.role)::text = ANY (ARRAY['ceo'::text, 'gestor_projetos'::text])))))",,ceo|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",MEDIO,Fluxo auxiliar
public,outbound_new_client_notifications,Outbound managers can view notifications,SELECT,"((outbound_manager_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND ((user_roles.role)::text = ANY (ARRAY['ceo'::text, 'gestor_projetos'::text]))))))",,ceo|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",ALTO,Notificações
public,outbound_task_comments,Users can view outbound task comments,SELECT,"(EXISTS ( SELECT 1
   FROM outbound_tasks t
  WHERE ((t.id = outbound_task_comments.task_id) AND ((t.outbound_manager_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM user_roles
          WHERE ((user_roles.user_id = auth.uid()) AND ((user_roles.role)::text = ANY (ARRAY['ceo'::text, 'gestor_projetos'::text, 'sucesso_cliente'::text])))))))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Comentários
public,outbound_task_delay_justifications,Users can update own outbound justifications,UPDATE,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND ((user_roles.role)::text = ANY (ARRAY['ceo'::text, 'gestor_projetos'::text]))))))",,ceo|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",ALTO,Justificativas atraso
public,outbound_task_delay_justifications,Users can view own outbound justifications,SELECT,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND ((user_roles.role)::text = ANY (ARRAY['ceo'::text, 'gestor_projetos'::text, 'sucesso_cliente'::text]))))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Justificativas atraso
public,outbound_task_delay_notifications,Admin can delete outbound delay notifications,DELETE,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND ((user_roles.role)::text = ANY (ARRAY['ceo'::text, 'gestor_projetos'::text])))))",,ceo|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",ALTO,Notificações atraso
public,outbound_task_delay_notifications,Authenticated can insert outbound delay notifications,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND ((user_roles.role)::text = ANY (ARRAY['outbound'::text, 'sucesso_cliente'::text, 'gestor_projetos'::text, 'ceo'::text])))))",ceo|gestor_projetos|outbound|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'outbound'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações atraso
public,outbound_task_delay_notifications,Outbound delay notifications visible to allowed roles,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND ((user_roles.role)::text = ANY (ARRAY['outbound'::text, 'sucesso_cliente'::text, 'gestor_projetos'::text, 'ceo'::text])))))",,ceo|gestor_projetos|outbound|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'outbound'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações atraso
public,outbound_tasks,Admin can view all outbound tasks,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND ((user_roles.role)::text = ANY (ARRAY['ceo'::text, 'gestor_projetos'::text, 'sucesso_cliente'::text])))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",MEDIO,Tasks departamento
public,produtora_briefings,produtora_briefings_delete,DELETE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'produtora'::user_role])))))",,ceo|gestor_ads|gestor_projetos|produtora,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'produtora'::user_role)",CRITICO,Briefings departamento
public,produtora_briefings,produtora_briefings_insert,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'produtora'::user_role, 'sucesso_cliente'::user_role])))))",ceo|gestor_ads|gestor_projetos|produtora|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'produtora'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",CRITICO,Briefings departamento
public,produtora_briefings,produtora_briefings_update,UPDATE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'produtora'::user_role, 'sucesso_cliente'::user_role])))))",,ceo|gestor_ads|gestor_projetos|produtora|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'produtora'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",CRITICO,Briefings departamento
public,produtora_delay_justifications,produtora_delay_justifications_select,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'produtora'::user_role, 'sucesso_cliente'::user_role, 'editor_video'::user_role])))))",,ceo|editor_video|gestor_ads|gestor_projetos|produtora|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'editor_video'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'produtora'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Justificativas atraso
public,produtora_delay_justifications,produtora_delay_justifications_update,UPDATE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = 'ceo'::user_role))))",,ceo,is_executive(auth.uid()) OR is_admin(auth.uid()),ALTO,Justificativas atraso
public,produtora_delay_notifications,produtora_delay_notifications_delete,DELETE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role])))))",,ceo|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",ALTO,Notificações atraso
public,produtora_delay_notifications,produtora_delay_notifications_insert,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'produtora'::user_role, 'sucesso_cliente'::user_role, 'editor_video'::user_role])))))",ceo|editor_video|gestor_ads|gestor_projetos|produtora|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'editor_video'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'produtora'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações atraso
public,produtora_delay_notifications,produtora_delay_notifications_select,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'produtora'::user_role, 'sucesso_cliente'::user_role, 'editor_video'::user_role])))))",,ceo|editor_video|gestor_ads|gestor_projetos|produtora|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'editor_video'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'produtora'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações atraso
public,profiles,Consultor Comercial can view all profiles,SELECT,"has_role(auth.uid(), 'consultor_comercial'::user_role)",,consultor_comercial,"is_admin(auth.uid()) OR has_role(auth.uid(), 'consultor_comercial'::user_role)",MEDIO,Fluxo auxiliar
public,profiles,Design can view all profiles,SELECT,"has_role(auth.uid(), 'design'::user_role)",,design,"is_admin(auth.uid()) OR has_role(auth.uid(), 'design'::user_role)",MEDIO,Fluxo auxiliar
public,profiles,Devs can view all profiles,SELECT,"has_role(auth.uid(), 'devs'::user_role)",,devs,"is_admin(auth.uid()) OR has_role(auth.uid(), 'devs'::user_role)",MEDIO,Fluxo auxiliar
public,profiles,Editor Video can view all profiles,SELECT,"has_role(auth.uid(), 'editor_video'::user_role)",,editor_video,"is_admin(auth.uid()) OR has_role(auth.uid(), 'editor_video'::user_role)",MEDIO,Fluxo auxiliar
public,profiles,Financeiro can view all profiles,SELECT,"has_role(auth.uid(), 'financeiro'::user_role)",,financeiro,"is_admin(auth.uid()) OR has_role(auth.uid(), 'financeiro'::user_role)",MEDIO,Fluxo auxiliar
public,profiles,Gestor CRM can view all profiles,SELECT,"has_role(auth.uid(), 'gestor_crm'::user_role)",,gestor_crm,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_crm'::user_role)",MEDIO,Fluxo auxiliar
public,profiles,Gestor de Ads can view all profiles,SELECT,"has_role(auth.uid(), 'gestor_ads'::user_role)",,gestor_ads,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_ads'::user_role)",MEDIO,Fluxo auxiliar
public,profiles,Outbound can view all profiles,SELECT,"has_role(auth.uid(), 'outbound'::user_role)",,outbound,"is_admin(auth.uid()) OR has_role(auth.uid(), 'outbound'::user_role)",MEDIO,Fluxo auxiliar
public,profiles,RH can view all profiles,SELECT,"has_role(auth.uid(), 'rh'::user_role)",,rh,"is_admin(auth.uid()) OR has_role(auth.uid(), 'rh'::user_role)",MEDIO,Fluxo auxiliar
public,profiles,Sucesso do Cliente can view all profiles,SELECT,"has_role(auth.uid(), 'sucesso_cliente'::user_role)",,sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",MEDIO,Fluxo auxiliar
public,task_delay_justifications,Authorized roles can view justifications by role,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['gestor_ads'::user_role, 'sucesso_cliente'::user_role, 'gestor_projetos'::user_role, 'ceo'::user_role])))))",,ceo|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Justificativas atraso
public,task_delay_justifications,CEO can update any justification,UPDATE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = 'ceo'::user_role))))",,ceo,is_executive(auth.uid()) OR is_admin(auth.uid()),ALTO,Justificativas atraso
public,video_briefings,video_briefings_delete,DELETE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'editor_video'::user_role])))))",,ceo|editor_video|gestor_ads|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'editor_video'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",CRITICO,Briefings departamento
public,video_briefings,video_briefings_insert,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'editor_video'::user_role])))))",ceo|editor_video|gestor_ads|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'editor_video'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",CRITICO,Briefings departamento
public,video_briefings,video_briefings_update,UPDATE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'editor_video'::user_role])))))",,ceo|editor_video|gestor_ads|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'editor_video'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",CRITICO,Briefings departamento
public,video_completion_notifications,System can insert video completion notifications,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'editor_video'::user_role, 'sucesso_cliente'::user_role])))))",ceo|editor_video|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'editor_video'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações
public,video_delay_justifications,Authorized roles can view video justifications,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'editor_video'::user_role, 'sucesso_cliente'::user_role])))))",,ceo|editor_video|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'editor_video'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Justificativas atraso
public,video_delay_justifications,CEO can archive video justifications,UPDATE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = 'ceo'::user_role))))",,ceo,is_executive(auth.uid()) OR is_admin(auth.uid()),ALTO,Justificativas atraso
public,video_delay_notifications,Admins can delete video delay notifications,DELETE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role])))))",,ceo|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",ALTO,Notificações atraso
public,video_delay_notifications,Authorized roles can view video delay notifications,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'editor_video'::user_role, 'sucesso_cliente'::user_role])))))",,ceo|editor_video|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'editor_video'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações atraso
public,video_delay_notifications,System can insert video delay notifications,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'editor_video'::user_role, 'sucesso_cliente'::user_role])))))",ceo|editor_video|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'editor_video'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações atraso
